"date","year","epiweek","abbreviation","location","location_name","q_0.025","q_0.25","q_0.50","q_0.75","q_0.975"
2010-10-23,2010,42,"OH","39","Ohio",0.08,0.27,0.5,0.92,3
2010-10-23,2010,42,"OK","40","Oklahoma",0.12,0.38,0.7,1.31,4.25
2010-10-23,2010,42,"OR","41","Oregon",0.07,0.22,0.42,0.77,2.52
2010-10-23,2010,42,"PA","42","Pennsylvania",1.24,4.04,7.49,13.86,44.37
2010-10-23,2010,42,"RI","44","Rhode Island",0.09,0.79,2.45,7.63,64.28
2010-10-23,2010,42,"SC","45","South Carolina",0.08,0.26,0.49,0.91,2.99
2010-10-23,2010,42,"SD","46","South Dakota",0.06,0.21,0.39,0.72,2.34
2010-10-23,2010,42,"TN","47","Tennessee",0.51,1.67,3.1,5.76,18.63
2010-10-23,2010,42,"TX","48","Texas",1.82,5.93,10.99,20.35,64.85
2010-10-23,2010,42,"UT","49","Utah",1.46,4.76,8.82,16.32,51.99
2010-10-23,2010,42,"VT","50","Vermont",0.28,2,5.57,15.42,102.76
2010-10-23,2010,42,"VA","51","Virginia",1,3.25,6.03,11.17,35.93
2010-10-23,2010,42,"WA","53","Washington",0.11,0.36,0.66,1.24,4.03
2010-10-23,2010,42,"WV","54","West Virginia",0.08,0.25,0.46,0.86,2.81
2010-10-23,2010,42,"WI","55","Wisconsin",1.25,4.06,7.54,13.97,44.74
2010-10-23,2010,42,"WY","56","Wyoming",0.63,2.04,3.8,7.04,22.74
2010-10-23,2010,42,"PR","72","Puerto Rico",0.57,6.11,21.15,71.55,540.01
2010-10-23,2010,42,"VI","78","Virgin Islands",0.17,3.04,13.69,60.3,654.23
2010-10-30,2010,43,"AL","01","Alabama",2.27,7.4,13.72,25.37,80.47
2010-10-30,2010,43,"AK","02","Alaska",0.07,0.22,0.41,0.77,2.53
2010-10-30,2010,43,"AZ","04","Arizona",3.94,12.79,23.62,43.38,133.64
2010-10-30,2010,43,"AR","05","Arkansas",2.14,6.95,12.87,23.77,75.19
2010-10-30,2010,43,"CA","06","California",2.38,7.75,14.38,26.59,84.33
2010-10-30,2010,43,"CO","08","Colorado",2.58,8.38,15.51,28.59,89.66
2010-10-30,2010,43,"CT","09","Connecticut",1.88,6.13,11.37,21.04,66.76
2010-10-30,2010,43,"DE","10","Delaware",0.13,0.42,0.79,1.46,4.77
2010-10-30,2010,43,"DC","11","District of Columbia",0.09,0.31,0.57,1.07,3.53
2010-10-30,2010,43,"FL","12","Florida",0.17,1.53,4.88,15.58,135.68
2010-10-30,2010,43,"GA","13","Georgia",0.21,0.68,1.26,2.34,7.6
2010-10-30,2010,43,"HI","15","Hawaii",7.72,25.05,46.1,83.9,245.93
2010-10-30,2010,43,"ID","16","Idaho",1.03,6.59,17.37,45.31,253.36
2010-10-30,2010,43,"IL","17","Illinois",0.28,0.91,1.68,3.13,10.15
2010-10-30,2010,43,"IN","18","Indiana",0.09,0.31,0.58,1.07,3.49
2010-10-30,2010,43,"IA","19","Iowa",1.33,4.34,8.05,14.9,47.62
2010-10-30,2010,43,"KS","20","Kansas",0.16,0.54,1,1.87,6.11
2010-10-30,2010,43,"KY","21","Kentucky",0.23,0.73,1.36,2.53,8.22
2010-10-30,2010,43,"LA","22","Louisiana",4.14,13.45,24.86,45.69,140.78
2010-10-30,2010,43,"ME","23","Maine",0.13,0.8,2.09,5.48,33.88
2010-10-30,2010,43,"MD","24","Maryland",2.73,8.86,16.4,30.25,94.88
2010-10-30,2010,43,"MA","25","Massachusetts",1.68,5.49,10.19,18.87,60.18
2010-10-30,2010,43,"MI","26","Michigan",1.28,7.47,18.76,46.6,239.78
2010-10-30,2010,43,"MN","27","Minnesota",4.82,15.61,28.79,52.73,160.21
2010-10-30,2010,43,"MS","28","Mississippi",0.1,0.6,1.54,3.95,23.45
2010-10-30,2010,43,"MO","29","Missouri",0.13,0.42,0.78,1.46,4.74
2010-10-30,2010,43,"MT","30","Montana",0.15,0.84,2.07,5.1,28.12
2010-10-30,2010,43,"NE","31","Nebraska",0.08,0.25,0.47,0.87,2.85
2010-10-30,2010,43,"NV","32","Nevada",0.84,4.84,12.09,30.02,159.97
2010-10-30,2010,43,"NH","33","New Hampshire",0.08,0.25,0.47,0.87,2.86
2010-10-30,2010,43,"NJ","34","New Jersey",0.17,1.36,4.1,12.32,97.02
2010-10-30,2010,43,"NM","35","New Mexico",0.13,0.41,0.77,1.43,4.67
2010-10-30,2010,43,"NY","36","New York",2.48,8.06,14.92,27.53,86.6
2010-10-30,2010,43,"NC","37","North Carolina",0.14,0.47,0.88,1.63,5.32
2010-10-30,2010,43,"ND","38","North Dakota",0.12,0.4,0.75,1.39,4.55
2010-10-30,2010,43,"OH","39","Ohio",1.08,3.52,6.53,12.11,38.86
2010-10-30,2010,43,"OK","40","Oklahoma",1.65,5.35,9.92,18.35,58.5
2010-10-30,2010,43,"OR","41","Oregon",0.1,0.32,0.59,1.1,3.58
2010-10-30,2010,43,"PA","42","Pennsylvania",2.28,7.41,13.72,25.33,79.93
2010-10-30,2010,43,"RI","44","Rhode Island",0.17,1.47,4.56,14.15,115.8
2010-10-30,2010,43,"SC","45","South Carolina",0.11,0.37,0.69,1.29,4.22
2010-10-30,2010,43,"SD","46","South Dakota",0.09,0.3,0.55,1.02,3.33
2010-10-30,2010,43,"TN","47","Tennessee",0.79,2.57,4.78,8.86,28.55
2010-10-30,2010,43,"TX","48","Texas",2.14,6.96,12.9,23.87,75.85
2010-10-30,2010,43,"UT","49","Utah",5.57,18.01,33.15,60.54,181.82
2010-10-30,2010,43,"VT","50","Vermont",0.53,3.73,10.34,28.47,181.37
2010-10-30,2010,43,"VA","51","Virginia",0.14,0.46,0.85,1.57,5.12
2010-10-30,2010,43,"WA","53","Washington",2,6.51,12.08,22.35,70.92
2010-10-30,2010,43,"WV","54","West Virginia",0.11,0.36,0.66,1.23,4.02
2010-10-30,2010,43,"WI","55","Wisconsin",1.72,5.6,10.39,19.22,61.13
2010-10-30,2010,43,"WY","56","Wyoming",0.06,0.2,0.37,0.7,2.27
2010-10-30,2010,43,"PR","72","Puerto Rico",1.05,11.34,38.94,128.28,779.67
2010-10-30,2010,43,"VI","78","Virgin Islands",0.32,5.65,25.33,108.82,896.97
2010-11-06,2010,44,"AL","01","Alabama",3.59,11.65,21.57,39.74,123.98
2010-11-06,2010,44,"AK","02","Alaska",0.08,0.27,0.5,0.93,3.04
2010-11-06,2010,44,"AZ","04","Arizona",3.8,12.31,22.74,41.8,129.08
2010-11-06,2010,44,"AR","05","Arkansas",2.38,7.73,14.31,26.4,83.26
2010-11-06,2010,44,"CA","06","California",2.5,8.14,15.1,27.91,88.49
2010-11-06,2010,44,"CO","08","Colorado",2.51,8.13,15.04,27.73,87.08
2010-11-06,2010,44,"CT","09","Connecticut",0.23,0.74,1.37,2.55,8.29
